"Country or Area","Year","Area","Sex","Age","Literacy","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Albania","2011","Total","Both Sexes","60 - 64","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","2389",""
"Albania","2011","Total","Both Sexes","65 - 69","Total","Census - de jure - complete tabulation","Final figure, complete","2013","103332",""
"Albania","2011","Total","Both Sexes","65 - 69","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","99457",""
"Albania","2011","Total","Both Sexes","65 - 69","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","3875",""
"Albania","2011","Total","Both Sexes","70 - 74","Total","Census - de jure - complete tabulation","Final figure, complete","2013","92497",""
"Albania","2011","Total","Both Sexes","70 - 74","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","85818",""
"Albania","2011","Total","Both Sexes","70 - 74","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","6679",""
"Albania","2011","Total","Both Sexes","75 - 79","Total","Census - de jure - complete tabulation","Final figure, complete","2013","63818",""
"Albania","2011","Total","Both Sexes","75 - 79","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","52595",""
"Albania","2011","Total","Both Sexes","75 - 79","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","11223",""
"Albania","2011","Total","Both Sexes","80 - 84","Total","Census - de jure - complete tabulation","Final figure, complete","2013","35085",""
"Albania","2011","Total","Both Sexes","80 - 84","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","24247",""
"Albania","2011","Total","Both Sexes","80 - 84","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","10838",""
"Albania","2011","Total","Both Sexes","85 +","Total","Census - de jure - complete tabulation","Final figure, complete","2013","22853",""
"Albania","2011","Total","Both Sexes","85 +","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","12470",""
"Albania","2011","Total","Both Sexes","85 +","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","10383",""
"Algeria","2008","Total","Both Sexes","10 - 14","Total","Census - de jure - complete tabulation","Final figure, complete","2014","3258749.11047268","1"
"Algeria","2008","Total","Both Sexes","10 - 14","Literate","Census - de jure - complete tabulation","Final figure, complete","2014","3147277.64118486","1"
"Algeria","2008","Total","Both Sexes","10 - 14","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2014","102294.418238297","1"
"Algeria","2008","Total","Both Sexes","10 - 14","Unknown","Census - de jure - complete tabulation","Final figure, complete","2014","9177.05104931521","1"
"Algeria","2008","Total","Both Sexes","10 +","Total","Census - de jure - complete tabulation","Final figure, complete","2014","27786524.3318289","1"
"Algeria","2008","Total","Both Sexes","10 +","Literate","Census - de jure - complete tabulation","Final figure, complete","2014","21512706.3331743","1"
"Algeria","2008","Total","Both Sexes","10 +","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2014","6184905.85525189","1"
"Algeria","2008","Total","Both Sexes","10 +","Unknown","Census - de jure - complete tabulation","Final figure, complete","2014","88909.1434634772","1"
"Algeria","2008","Total","Both Sexes","15 - 19","Total","Census - de jure - complete tabulation","Final figure, complete","2014","3635141.1337362","1"
"Algeria","2008","Total","Both Sexes","15 - 19","Literate","Census - de jure - complete tabulation","Final figure, complete","2014","3462497.0301818","1"
"Algeria","2008","Total","Both Sexes","15 - 19","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2014","164491.346399025","1"
"Algeria","2008","Total","Both Sexes","15 - 19","Unknown","Census - de jure - complete tabulation","Final figure, complete","2014","8152.75715518306","1"
"Algeria","2008","Total","Both Sexes","20 - 24","Total","Census - de jure - complete tabulation","Final figure, complete","2014","3763475.48993284","1"
"Algeria","2008","Total","Both Sexes","20 - 24","Literate","Census - de jure - complete tabulation","Final figure, complete","2014","3458406.92365883","1"
"Algeria","2008","Total","Both Sexes","20 - 24","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2014","295536.943125482","1"
"Algeria","2008","Total","Both Sexes","20 - 24","Unknown","Census - de jure - complete tabulation","Final figure, complete","2014","9531.62314808529","1"
"Algeria","2008","Total","Both Sexes","25 - 29","Total","Census - de jure - complete tabulation","Final figure, complete","2014","3422341.10355399","1"
"Algeria","2008","Total","Both Sexes","25 - 29","Literate","Census - de jure - complete tabulation","Final figure, complete","2014","3037073.02112807","1"
"Algeria","2008","Total","Both Sexes","25 - 29","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2014","375314.874553066","1"
"Algeria","2008","Total","Both Sexes","25 - 29","Unknown","Census - de jure - complete tabulation","Final figure, complete","2014","9952.20787212337","1"
"Algeria","2008","Total","Both Sexes","30 - 34","Total","Census - de jure - complete tabulation","Final figure, complete","2014","2740967.13153558","1"
"Algeria","2008","Total","Both Sexes","30 - 34","Literate","Census - de jure - complete tabulation","Final figure, complete","2014","2319554.65660921","1"
"Algeria","2008","Total","Both Sexes","30 - 34","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2014","413211.347415919","1"
"Algeria","2008","Total","Both Sexes","30 - 34","Unknown","Census - de jure - complete tabulation","Final figure, complete","2014","8200.12751005263","1"
"Algeria","2008","Total","Both Sexes","35 - 39","Total","Census - de jure - complete tabulation","Final figure, complete","2014","2342753.9971229","1"
"Algeria","2008","Total","Both Sexes","35 - 39","Literate","Census - de jure - complete tabulation","Final figure, complete","2014","1842975.12858215","1"
"Algeria","2008","Total","Both Sexes","35 - 39","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2014","492811.501693481","1"
"Algeria","2008","Total","Both Sexes","35 - 39","Unknown","Census - de jure - complete tabulation","Final figure, complete","2014","6967.36684654004","1"
"Algeria","2008","Total","Both Sexes","40 - 44","Total","Census - de jure - complete tabulation","Final figure, complete","2014","2018319.94437119","1"
"Algeria","2008","Total","Both Sexes","40 - 44","Literate","Census - de jure - complete tabulation","Final figure, complete","2014","1439753.29221909","1"
"Algeria","2008","Total","Both Sexes","40 - 44","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2014","572731.134725176","1"
"Algeria","2008","Total","Both Sexes","40 - 44","Unknown","Census - de jure - complete tabulation","Final figure, complete","2014","5835.51742591215","1"
"Algeria","2008","Total","Both Sexes","45 - 49","Total","Census - de jure - complete tabulation","Final figure, complete","2014","1629427.40926932","1"
"Algeria","2008","Total","Both Sexes","45 - 49","Literate","Census - de jure - complete tabulation","Final figure, complete","2014","984874.112763983","1"
"Algeria","2008","Total","Both Sexes","45 - 49","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2014","639810.821601849","1"
"Algeria","2008","Total","Both Sexes","45 - 49","Unknown","Census - de jure - complete tabulation","Final figure, complete","2014","4742.4749026793","1"
"Algeria","2008","Total","Both Sexes","50 - 54","Total","Census - de jure - complete tabulation","Final figure, complete","2014","1346689.63815931","1"
"Algeria","2008","Total","Both Sexes","50 - 54","Literate","Census - de jure - complete tabulation","Final figure, complete","2014","714854.570593192","1"
"Algeria","2008","Total","Both Sexes","50 - 54","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2014","627934.951087156","1"
"Algeria","2008","Total","Both Sexes","50 - 54","Unknown","Census - de jure - complete tabulation","Final figure, complete","2014","3900.11647871616","1"
"Algeria","2008","Total","Both Sexes","55 - 59","Total","Census - de jure - complete tabulation","Final figure, complete","2014","1062570.46340845","1"
"Algeria","2008","Total","Both Sexes","55 - 59","Literate","Census - de jure - complete tabulation","Final figure, complete","2014","491458.756764519","1"
"Algeria","2008","Total","Both Sexes","55 - 59","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2014","567779.341592039","1"
"Algeria","2008","Total","Both Sexes","55 - 59","Unknown","Census - de jure - complete tabulation","Final figure, complete","2014","3331.36505189666","1"
"Algeria","2008","Total","Both Sexes","60 - 64","Total","Census - de jure - complete tabulation","Final figure, complete","2014","711478.619535411","1"
"Algeria","2008","Total","Both Sexes","60 - 64","Literate","Census - de jure - complete tabulation","Final figure, complete","2014","242828.106846058","1"
"Algeria","2008","Total","Both Sexes","60 - 64","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2014","466077.032230372","1"
"Algeria","2008","Total","Both Sexes","60 - 64","Unknown","Census - de jure - complete tabulation","Final figure, complete","2014","2573.48045893352","1"
"Algeria","2008","Total","Both Sexes","65 - 69","Total","Census - de jure - complete tabulation","Final figure, complete","2014","631300.077401663","1"
"Algeria","2008","Total","Both Sexes","65 - 69","Literate","Census - de jure - complete tabulation","Final figure, complete","2014","156070.010947742","1"
"Algeria","2008","Total","Both Sexes","65 - 69","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2014","472422.044300852","1"
"Algeria","2008","Total","Both Sexes","65 - 69","Unknown","Census - de jure - complete tabulation","Final figure, complete","2014","2808.02215308852","1"
"Algeria","2008","Total","Both Sexes","70 - 74","Total","Census - de jure - complete tabulation","Final figure, complete","2014","504922.559896481","1"
"Algeria","2008","Total","Both Sexes","70 - 74","Literate","Census - de jure - complete tabulation","Final figure, complete","2014","97640.6649215415","1"
"Algeria","2008","Total","Both Sexes","70 - 74","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2014","404663.930878994","1"
"Algeria","2008","Total","Both Sexes","70 - 74","Unknown","Census - de jure - complete tabulation","Final figure, complete","2014","2617.96409596015","1"
"Algeria","2008","Total","Both Sexes","75 - 79","Total","Census - de jure - complete tabulation","Final figure, complete","2014","363842.625211969","1"
"Algeria","2008","Total","Both Sexes","75 - 79","Literate","Census - de jure - complete tabulation","Final figure, complete","2014","58057.2429157964","1"
"Algeria","2008","Total","Both Sexes","75 - 79","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2014","303736.498938025","1"
"Algeria","2008","Total","Both Sexes","75 - 79","Unknown","Census - de jure - complete tabulation","Final figure, complete","2014","2048.88335816549","1"
"Algeria","2008","Total","Both Sexes","80 - 84","Total","Census - de jure - complete tabulation","Final figure, complete","2014","187128.568417039","1"
"Algeria","2008","Total","Both Sexes","80 - 84","Literate","Census - de jure - complete tabulation","Final figure, complete","2014","26192.0146722341","1"
"Algeria","2008","Total","Both Sexes","80 - 84","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2014","159668.159999786","1"
"Algeria","2008","Total","Both Sexes","80 - 84","Unknown","Census - de jure - complete tabulation","Final figure, complete","2014","1268.39374501942","1"
"Algeria","2008","Total","Both Sexes","85 - 89","Total","Census - de jure - complete tabulation","Final figure, complete","2014","89721.0318717698","1"
"Algeria","2008","Total","Both Sexes","85 - 89","Literate","Census - de jure - complete tabulation","Final figure, complete","2014","10907.9086896768","1"
"Algeria","2008","Total","Both Sexes","85 - 89","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2014","78137.9524973579","1"
"Algeria","2008","Total","Both Sexes","85 - 89","Unknown","Census - de jure - complete tabulation","Final figure, complete","2014","675.170684734965","1"
"Algeria","2008","Total","Both Sexes","90 - 94","Total","Census - de jure - complete tabulation","Final figure, complete","2014","29671.5915182203","1"
"Algeria","2008","Total","Both Sexes","90 - 94","Literate","Census - de jure - complete tabulation","Final figure, complete","2014","3261.61034642835","1"
"Algeria","2008","Total","Both Sexes","90 - 94","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2014","26151.52871746","1"
"Algeria","2008","Total","Both Sexes","90 - 94","Unknown","Census - de jure - complete tabulation","Final figure, complete","2014","258.452454331814","1"
"Algeria","2008","Total","Both Sexes","95 - 99","Total","Census - de jure - complete tabulation","Final figure, complete","2014","10028.1910888217","1"
"Algeria","2008","Total","Both Sexes","95 - 99","Literate","Census - de jure - complete tabulation","Final figure, complete","2014","1122.36581699472","1"
"Algeria","2008","Total","Both Sexes","95 - 99","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2014","8808.74922207703","1"
"Algeria","2008","Total","Both Sexes","95 - 99","Unknown","Census - de jure - complete tabulation","Final figure, complete","2014","97.076049749938","1"
"Algeria","2008","Total","Both Sexes","100 +","Total","Census - de jure - complete tabulation","Final figure, complete","2014","649.95885845073","1"
"Algeria","2008","Total","Both Sexes","100 +","Literate","Census - de jure - complete tabulation","Final figure, complete","2014","74.2222525669808","1"
"Algeria","2008","Total","Both Sexes","100 +","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2014","570.680148452291","1"
"Algeria","2008","Total","Both Sexes","100 +","Unknown","Census - de jure - complete tabulation","Final figure, complete","2014","5.05645743145743","1"
"Algeria","2008","Total","Both Sexes","Unknown","Total","Census - de jure - complete tabulation","Final figure, complete","2014","37345.6867030124","1"
"Algeria","2008","Total","Both Sexes","Unknown","Literate","Census - de jure - complete tabulation","Final figure, complete","2014","17827.052261883","1"
"Algeria","2008","Total","Both Sexes","Unknown","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2014","12752.597875574","1"
"Algeria","2008","Total","Both Sexes","Unknown","Unknown","Census - de jure - complete tabulation","Final figure, complete","2014","6766.03656555454","1"
"Argentina","2010","Total","Both Sexes","10 - 14","Total","Census - de facto - complete tabulation","Final figure, complete","2015","3503446",""
"Argentina","2010","Total","Both Sexes","10 - 14","Literate","Census - de facto - complete tabulation","Final figure, complete","2015","3461619",""
"Argentina","2010","Total","Both Sexes","10 - 14","Illiterate","Census - de facto - complete tabulation","Final figure, complete","2015","41827",""
"Argentina","2010","Total","Both Sexes","10 +","Total","Census - de facto - complete tabulation","Final figure, complete","2015","33398225",""
"Argentina","2010","Total","Both Sexes","10 +","Literate","Census - de facto - complete tabulation","Final figure, complete","2015","32758604",""
"Argentina","2010","Total","Both Sexes","10 +","Illiterate","Census - de facto - complete tabulation","Final figure, complete","2015","639621",""
"Argentina","2010","Total","Both Sexes","15 - 19","Total","Census - de facto - complete tabulation","Final figure, complete","2015","3542067",""
"Argentina","2010","Total","Both Sexes","15 - 19","Literate","Census - de facto - complete tabulation","Final figure, complete","2015","3507039",""
"Argentina","2010","Total","Both Sexes","15 - 19","Illiterate","Census - de facto - complete tabulation","Final figure, complete","2015","35028",""
"Argentina","2010","Total","Both Sexes","20 - 24","Total","Census - de facto - complete tabulation","Final figure, complete","2015","3300149",""
"Argentina","2010","Total","Both Sexes","20 - 24","Literate","Census - de facto - complete tabulation","Final figure, complete","2015","3267806",""
"Argentina","2010","Total","Both Sexes","20 - 24","Illiterate","Census - de facto - complete tabulation","Final figure, complete","2015","32343",""
"Argentina","2010","Total","Both Sexes","25 - 29","Total","Census - de facto - complete tabulation","Final figure, complete","2015","3130509",""
"Argentina","2010","Total","Both Sexes","25 - 29","Literate","Census - de facto - complete tabulation","Final figure, complete","2015","3095814",""
"Argentina","2010","Total","Both Sexes","25 - 29","Illiterate","Census - de facto - complete tabulation","Final figure, complete","2015","34695",""
"Argentina","2010","Total","Both Sexes","30 - 34","Total","Census - de facto - complete tabulation","Final figure, complete","2015","3098713",""
"Argentina","2010","Total","Both Sexes","30 - 34","Literate","Census - de facto - complete tabulation","Final figure, complete","2015","3060675",""
"Argentina","2010","Total","Both Sexes","30 - 34","Illiterate","Census - de facto - complete tabulation","Final figure, complete","2015","38038",""
"Argentina","2010","Total","Both Sexes","35 - 39","Total","Census - de facto - complete tabulation","Final figure, complete","2015","2678435",""
"Argentina","2010","Total","Both Sexes","35 - 39","Literate","Census - de facto - complete tabulation","Final figure, complete","2015","2644074",""
"Argentina","2010","Total","Both Sexes","35 - 39","Illiterate","Census - de facto - complete tabulation","Final figure, complete","2015","34361",""
"Argentina","2010","Total","Both Sexes","40 - 44","Total","Census - de facto - complete tabulation","Final figure, complete","2015","2310775",""
"Argentina","2010","Total","Both Sexes","40 - 44","Literate","Census - de facto - complete tabulation","Final figure, complete","2015","2274392",""
"Argentina","2010","Total","Both Sexes","40 - 44","Illiterate","Census - de facto - complete tabulation","Final figure, complete","2015","36383",""
"Argentina","2010","Total","Both Sexes","45 - 49","Total","Census - de facto - complete tabulation","Final figure, complete","2015","2196350",""
"Argentina","2010","Total","Both Sexes","45 - 49","Literate","Census - de facto - complete tabulation","Final figure, complete","2015","2154593",""
"Argentina","2010","Total","Both Sexes","45 - 49","Illiterate","Census - de facto - complete tabulation","Final figure, complete","2015","41757",""
"Argentina","2010","Total","Both Sexes","50 - 54","Total","Census - de facto - complete tabulation","Final figure, complete","2015","2042993",""
"Argentina","2010","Total","Both Sexes","50 - 54","Literate","Census - de facto - complete tabulation","Final figure, complete","2015","1994787",""
"Argentina","2010","Total","Both Sexes","50 - 54","Illiterate","Census - de facto - complete tabulation","Final figure, complete","2015","48206",""
"Argentina","2010","Total","Both Sexes","55 - 59","Total","Census - de facto - complete tabulation","Final figure, complete","2015","1868950",""
"Argentina","2010","Total","Both Sexes","55 - 59","Literate","Census - de facto - complete tabulation","Final figure, complete","2015","1813534",""
"Argentina","2010","Total","Both Sexes","55 - 59","Illiterate","Census - de facto - complete tabulation","Final figure, complete","2015","55416",""
"Argentina","2010","Total","Both Sexes","60 - 64","Total","Census - de facto - complete tabulation","Final figure, complete","2015","1621190",""
"Argentina","2010","Total","Both Sexes","60 - 64","Literate","Census - de facto - complete tabulation","Final figure, complete","2015","1563654",""
"Argentina","2010","Total","Both Sexes","60 - 64","Illiterate","Census - de facto - complete tabulation","Final figure, complete","2015","57536",""
"Argentina","2010","Total","Both Sexes","65 - 69","Total","Census - de facto - complete tabulation","Final figure, complete","2015","1293061",""
"Argentina","2010","Total","Both Sexes","65 - 69","Literate","Census - de facto - complete tabulation","Final figure, complete","2015","1243309",""
"Argentina","2010","Total","Both Sexes","65 - 69","Illiterate","Census - de facto - complete tabulation","Final figure, complete","2015","49752",""
"Argentina","2010","Total","Both Sexes","70 - 74","Total","Census - de facto - complete tabulation","Final figure, complete","2015","1015897",""
"Argentina","2010","Total","Both Sexes","70 - 74","Literate","Census - de facto - complete tabulation","Final figure, complete","2015","973388",""
"Argentina","2010","Total","Both Sexes","70 - 74","Illiterate","Census - de facto - complete tabulation","Final figure, complete","2015","42509",""
"Argentina","2010","Total","Both Sexes","75 - 79","Total","Census - de facto - complete tabulation","Final figure, complete","2015","801660",""
"Argentina","2010","Total","Both Sexes","75 - 79","Literate","Census - de facto - complete tabulation","Final figure, complete","2015","765951",""
"Argentina","2010","Total","Both Sexes","75 - 79","Illiterate","Census - de facto - complete tabulation","Final figure, complete","2015","35709",""
"Argentina","2010","Total","Both Sexes","80 - 84","Total","Census - de facto - complete tabulation","Final figure, complete","2015","565917",""
"Argentina","2010","Total","Both Sexes","80 - 84","Literate","Census - de facto - complete tabulation","Final figure, complete","2015","537372",""
"Argentina","2010","Total","Both Sexes","80 - 84","Illiterate","Census - de facto - complete tabulation","Final figure, complete","2015","28545",""
"Argentina","2010","Total","Both Sexes","85 - 89","Total","Census - de facto - complete tabulation","Final figure, complete","2015","298337",""
"Argentina","2010","Total","Both Sexes","85 - 89","Literate","Census - de facto - complete tabulation","Final figure, complete","2015","280791",""
"Argentina","2010","Total","Both Sexes","85 - 89","Illiterate","Census - de facto - complete tabulation","Final figure, complete","2015","17546",""
"Argentina","2010","Total","Both Sexes","90 - 94","Total","Census - de facto - complete tabulation","Final figure, complete","2015","102809",""
"Argentina","2010","Total","Both Sexes","90 - 94","Literate","Census - de facto - complete tabulation","Final figure, complete","2015","95327",""
"Argentina","2010","Total","Both Sexes","90 - 94","Illiterate","Census - de facto - complete tabulation","Final figure, complete","2015","7482",""
"Argentina","2010","Total","Both Sexes","95 - 99","Total","Census - de facto - complete tabulation","Final figure, complete","2015","23483",""
"Argentina","2010","Total","Both Sexes","95 - 99","Literate","Census - de facto - complete tabulation","Final figure, complete","2015","21465",""
"Argentina","2010","Total","Both Sexes","95 - 99","Illiterate","Census - de facto - complete tabulation","Final figure, complete","2015","2018",""
"Argentina","2010","Total","Both Sexes","100 +","Total","Census - de facto - complete tabulation","Final figure, complete","2015","3484",""
"Argentina","2010","Total","Both Sexes","100 +","Literate","Census - de facto - complete tabulation","Final figure, complete","2015","3014",""
"Argentina","2010","Total","Both Sexes","100 +","Illiterate","Census - de facto - complete tabulation","Final figure, complete","2015","470",""
"Armenia","2011","Total","Both Sexes","10 - 14","Total","Census - de jure - complete tabulation","Final figure, complete","2013","178637",""
"Armenia","2011","Total","Both Sexes","10 - 14","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","177817",""
"Armenia","2011","Total","Both Sexes","10 - 14","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","242",""
"Armenia","2011","Total","Both Sexes","10 - 14","Unknown","Census - de jure - complete tabulation","Final figure, complete","2013","578",""
"Armenia","2011","Total","Both Sexes","10 +","Total","Census - de jure - complete tabulation","Final figure, complete","2013","2631353",""
"Armenia","2011","Total","Both Sexes","10 +","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","2621208",""
"Armenia","2011","Total","Both Sexes","10 +","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","6503",""
"Armenia","2011","Total","Both Sexes","10 +","Unknown","Census - de jure - complete tabulation","Final figure, complete","2013","3642",""
"Armenia","2011","Total","Both Sexes","15 - 19","Total","Census - de jure - complete tabulation","Final figure, complete","2013","233075",""
"Armenia","2011","Total","Both Sexes","15 - 19","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","232534",""
"Armenia","2011","Total","Both Sexes","15 - 19","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","365",""
"Armenia","2011","Total","Both Sexes","15 - 19","Unknown","Census - de jure - complete tabulation","Final figure, complete","2013","176",""
"Armenia","2011","Total","Both Sexes","20 - 24","Total","Census - de jure - complete tabulation","Final figure, complete","2013","292234",""
"Armenia","2011","Total","Both Sexes","20 - 24","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","291559",""
"Armenia","2011","Total","Both Sexes","20 - 24","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","436",""
"Armenia","2011","Total","Both Sexes","20 - 24","Unknown","Census - de jure - complete tabulation","Final figure, complete","2013","239",""
"Armenia","2011","Total","Both Sexes","25 - 29","Total","Census - de jure - complete tabulation","Final figure, complete","2013","271929",""
"Armenia","2011","Total","Both Sexes","25 - 29","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","271293",""
"Armenia","2011","Total","Both Sexes","25 - 29","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","417",""
"Armenia","2011","Total","Both Sexes","25 - 29","Unknown","Census - de jure - complete tabulation","Final figure, complete","2013","219",""
"Armenia","2011","Total","Both Sexes","30 - 34","Total","Census - de jure - complete tabulation","Final figure, complete","2013","223005",""
"Armenia","2011","Total","Both Sexes","30 - 34","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","222522",""
"Armenia","2011","Total","Both Sexes","30 - 34","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","304",""
"Armenia","2011","Total","Both Sexes","30 - 34","Unknown","Census - de jure - complete tabulation","Final figure, complete","2013","179",""
"Armenia","2011","Total","Both Sexes","35 - 39","Total","Census - de jure - complete tabulation","Final figure, complete","2013","187421",""
"Armenia","2011","Total","Both Sexes","35 - 39","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","187044",""
"Armenia","2011","Total","Both Sexes","35 - 39","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","242",""
"Armenia","2011","Total","Both Sexes","35 - 39","Unknown","Census - de jure - complete tabulation","Final figure, complete","2013","135",""
"Armenia","2011","Total","Both Sexes","40 - 44","Total","Census - de jure - complete tabulation","Final figure, complete","2013","176964",""
"Armenia","2011","Total","Both Sexes","40 - 44","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","176587",""
"Armenia","2011","Total","Both Sexes","40 - 44","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","246",""
"Armenia","2011","Total","Both Sexes","40 - 44","Unknown","Census - de jure - complete tabulation","Final figure, complete","2013","131",""
